label,latitude,longitude
Africa,1.6508,17.6791
Asia,34.0479,100.6197
Asia Minor,38.9519,35.5013
Australia,-25.2744,133.7751
Belgium,50.5039,4.4699
Bolivia,-16.2902,-63.5887
Brazil,-14.235,-51.9253
Canada,56.1304,-106.3468
Caribbean,18.2,-66.5
Central America,15.7835,-90.2308
Central Asia,39.4009,72.8677
Central/South America,4.5709,-74.2973
East Asia,35.8617,104.1954
Eastern Mediterranean,34.0,35.5
Ethiopia,9.145,40.4897
Europe,54.526,15.2551
France,46.2276,2.2137
Germany,51.1657,10.4515
Greece,39.0742,21.8243
Austria,47.5162,14.5501
Ireland,53.4129,-8.2439
Italy,42.6384,12.6743
Japan,36.2048,138.2529
Lithuania,55.1694,23.8813
Mediterranean Region,37.0,18.0
Mediterranean Sea,35.0,18.0
Mexico,23.6345,-102.5528
Middle East,29.2985,42.551
Morocco,31.7917,-7.0926
Netherlands,52.1326,5.2913
North America,54.526,-105.2551
North Atlantic Ocean,35.0,-40.0
North Pacific Ocean,30.0,-160.0
Northern Europe,60.0,15.0
Oregon,44.0,-120.5
Persia,32.4279,53.688
Poland,51.9194,19.1451
China,35.8617,104.1954
Rome,41.9028,12.4964
South America,-15.6,-56.1
South Asia,20.5937,78.9629
Southeast Asia,1.3521,103.8198
Spain,40.4637,-3.7492
Switzerland,46.8182,8.2275
UK,55.3781,-3.436
United Kingdom,55.3781,-3.436
United States,39.8283,-98.5795
Vietnam,14.0583,108.2772
West Asia,32.4279,53.688
Western Asia,32.4279,53.688
