Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location,OFF Code,OFF Product Name,OFF Generic Name,OFF Category,OFF Brand,OFF Nutri-Score Grade,OFF Nutri-Score,OFF NOVA Group,OFF Fat (g),OFF Carbohydrates (g),OFF Sugar (g),OFF Salt (g),OFF Saturated Fat (g),OFF Image URL,OFF Match Score,OFF Match Method
Kale,"High in Vitamins A, C, K","1 cup, chopped",Ancient Greece,49,4.3,3.6,93.4,1770,"[37.771366099999995, 21.7434170878197]",8437013139335,Kale,Col rizada,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh plant-based foods,Fresh vegetables,es:kales",Verdifresh,a,-7,1,0.9,8.7,2.3,0.09,0.09,https://images.openfoodfacts.org/images/products/843/701/313/9335/front_es.11.400.jpg,142,local-name-to-openfoodfacts-bulk
Blueberries,High in Antioxidants,1 cup,North America,84,1.1,3.6,14.4,9621,"[51.0000002, -109.0]",6111255630202,Blueberry,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries,Blueberries",AfricanBlue,a,-3,1,0.33,10.6,9.96,0.0025,0.028,https://images.openfoodfacts.org/images/products/611/125/563/0202/front_en.4.400.jpg,142,local-name-to-openfoodfacts-bulk
Salmon,Rich in Omega-3 Fatty Acids,3 oz,North Pacific Ocean,208,22.1,0.0,0.0,689,"[30.0, -170.0]",2324350002766,Salmon,,es:salmon-rosado-ultracongelado,Hacendado,a,-3,1,12.4,0,0,0.16,2.15,https://images.openfoodfacts.org/images/products/232/435/000/2766/front_es.15.400.jpg,142,local-name-to-openfoodfacts-bulk
Garlic,Contains Allicin,1 clove,Central Asia,4,0.2,0.1,0.9,5708,"[39.4009215, 72.8676621]",5054781512189,garlic,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Garlic and their products,Garlic",,a,-9,1,0.25,18.6,1.2,0.023,0.005,https://images.openfoodfacts.org/images/products/505/478/151/2189/front_en.10.400.jpg,146,local-name-to-openfoodfacts-bulk
Spinach,High in Iron and Folate,"1 cup, raw",Ancient Persia,23,2.9,2.2,28.1,1515,"[29.7810913, 51.5766156]",0074175700980,Spinach,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Spinachs",,a,-5,1,0,3.5294117647059,0,0.19117647058824,0,https://images.openfoodfacts.org/images/products/007/417/570/0980/front_en.3.400.jpg,146,local-name-to-openfoodfacts-bulk
Almonds,Good Source of Vitamin E,1 oz (23 nuts),Middle East,164,6.0,3.5,0.0,4454,"[39.3014159, -76.5888477]",9339687212392,almond,,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Almonds",Woolworths,a,-10,1,55.8,5.1,3.9,0.01,3.4,https://images.openfoodfacts.org/images/products/933/968/721/2392/front_en.18.400.jpg,142,local-name-to-openfoodfacts-bulk
Broccoli,High in Vitamin C and K,"1 cup, chopped",Italy,31,2.5,2.4,81.2,1510,"[42.6384261, 12.674297]",5054781135807,Broccoli,Broccoli,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Fresh vegetables,Broccoli,Fresh broccoli",Asda,a,-8,1,0.618,3.2,1.957,0.0206,0.206,https://images.openfoodfacts.org/images/products/505/478/113/5807/front_en.24.400.jpg,146,local-name-to-openfoodfacts-bulk
Avocado,Rich in Healthy Fats,1 medium,Central America,320,4.0,13.5,10.0,1922,"[-30.29284845, 153.12561585745573]",0761010842553,Avocado,Avocado,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Fresh fruits",,a,0,1,20.6,0.83,0.4,0.015,4.51,,146,local-name-to-openfoodfacts-bulk
Quinoa,Complete Protein Source,"1 cup, cooked",South America,222,8.1,5.2,0.0,1808,"[-21.0002179, -61.0006565]",0760236074922,quinoa,,"Plant-based foods and beverages,Plant-based foods,Seeds",True Goodness Organic,a,-9,1,5.5555555555556,68.888888888889,2.2222222222222,0,0,https://images.openfoodfacts.org/images/products/076/023/607/4922/front_en.4.400.jpg,142,local-name-to-openfoodfacts-bulk
Lentils,High in Protein and Fiber,"1 cup, cooked",Middle East,230,17.9,15.6,2.1,7282,"[39.3014159, -76.5888477]",0720579148612,Lentils,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Lentils",,a,-17,1,0,63.04347826087,2.1739130434783,0,0,https://images.openfoodfacts.org/images/products/072/057/914/8612/front_en.3.400.jpg,131,local-name-to-openfoodfacts-bulk
Sweet Potato,Rich in Beta-Carotene,1 medium,Central/South America,103,2.3,3.8,22.3,14187,"[34.09198895, -117.55989250767249]",,,,,,,,,,,,,,,,
